#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
3098                 -         5S_rRNA              RF00001    cm        1      119        3      123      +    no    1 0.51   0.0   84.6   1.9e-17 !   [C28989; 123bp]
3261                 -         LSU_rRNA_archaea     RF02540    cm     2632     2757      123        1      - 5'&3'    4 0.45   0.0   52.9   1.8e-13 !   [C30349; 123bp]
637                  -         LSU_rRNA_archaea     RF02540    cm     2062     2189        1      127      + 5'&3'    4 0.50   0.0   52.8     2e-13 !   [C33847; 127bp]
3284                 -         LSU_rRNA_archaea     RF02540    cm     1204     1323      123        1      - 5'&3'    4 0.50   0.0   52.6   2.3e-13 !   [C29365; 123bp]
918                  -         LSU_rRNA_archaea     RF02540    cm     2742     2852      112        1      -    3'    4 0.46   0.0   52.6   2.3e-13 !   [C28303; 123bp]
1334                 -         LSU_rRNA_archaea     RF02540    cm     1384     1509      123        1      - 5'&3'    4 0.46   0.0   52.6   2.3e-13 !   [C28047; 123bp]
1074                 -         LSU_rRNA_archaea     RF02540    cm      845      974      123        1      - 5'&3'    4 0.50   0.0   52.4   2.6e-13 !   [C29549; 123bp]
3505                 -         LSU_rRNA_archaea     RF02540    cm     2034     2146      123       12      -    5'    4 0.49   0.0   52.4   2.7e-13 !   [C33051; 123bp]
1583                 -         LSU_rRNA_archaea     RF02540    cm     1203     1321        1      122      +    5'    4 0.49   0.0   52.3   2.9e-13 !   [C28955; 123bp]
664                  -         LSU_rRNA_archaea     RF02540    cm     1890     2011      122        1      -    3'    4 0.43   0.0   52.1   3.2e-13 !   [C32945; 123bp]
3074                 -         LSU_rRNA_archaea     RF02540    cm      788      884       28      123      +    3'    4 0.53   0.0   52.0   3.6e-13 !   [C27817; 123bp]
2439                 -         LSU_rRNA_archaea     RF02540    cm      160      234       49      123      +    3'    4 0.49   0.0   51.9   3.9e-13 !   [C29545; 123bp]
1351                 -         LSU_rRNA_archaea     RF02540    cm     2034     2146      123       12      -    5'    4 0.50   0.0   51.9   3.9e-13 !   [C27629; 123bp]
3699                 -         LSU_rRNA_archaea     RF02540    cm      854      982      123        1      - 5'&3'    4 0.49   0.0   51.7   4.2e-13 !   [C32825; 123bp]
1725                 -         LSU_rRNA_archaea     RF02540    cm     2070     2193      123        1      - 5'&3'    4 0.50   0.0   51.7   4.3e-13 !   [C28511; 123bp]
928                  -         LSU_rRNA_archaea     RF02540    cm     1721     1846      123        1      - 5'&3'    4 0.45   0.0   51.7   4.5e-13 !   [C27545; 123bp]
3078                 -         LSU_rRNA_archaea     RF02540    cm     2047     2170      123        1      - 5'&3'    4 0.51   0.0   51.6   4.6e-13 !   [C32985; 123bp]
3697                 -         LSU_rRNA_archaea     RF02540    cm      459      548      123       32      -    5'    4 0.38   1.5   51.6   4.7e-13 !   [C30341; 123bp]
3554                 -         LSU_rRNA_archaea     RF02540    cm      788      884       96        1      -    3'    4 0.54   0.0   51.6   4.8e-13 !   [C31017; 123bp]
3263                 -         LSU_rRNA_archaea     RF02540    cm     2723     2843      122        1      -    3'    4 0.44   0.0   51.5   5.3e-13 !   [C28305; 123bp]
1249                 -         LSU_rRNA_archaea     RF02540    cm     2625     2718      123       30      -    5'    4 0.49   0.0   51.5   5.3e-13 !   [C29243; 123bp]
1893                 -         LSU_rRNA_archaea     RF02540    cm     2742     2852      112        1      -    3'    4 0.46   0.0   51.4   5.5e-13 !   [C28301; 123bp]
880                  -         LSU_rRNA_archaea     RF02540    cm     2669     2794      123        1      - 5'&3'    4 0.42   0.0   51.4   5.6e-13 !   [C28451; 123bp]
1189                 -         LSU_rRNA_archaea     RF02540    cm     2459     2580      123        1      - 5'&3'    4 0.47   0.0   51.4   5.6e-13 !   [C33583; 123bp]
1132                 -         LSU_rRNA_archaea     RF02540    cm      788      883       29      123      +    3'    4 0.53   0.0   51.4   5.6e-13 !   [C29973; 123bp]
5541                 -         LSU_rRNA_archaea     RF02540    cm     2378     2483      104        1      -    no    4 0.42   0.0   51.3   5.7e-13 !   [C22359; 110bp]
2206                 -         LSU_rRNA_archaea     RF02540    cm     1309     1430        1      123      + 5'&3'    4 0.49   0.0   51.3   6.1e-13 !   [C29399; 123bp]
3479                 -         LSU_rRNA_archaea     RF02540    cm     2672     2796      123        1      - 5'&3'    4 0.43   0.0   51.0   7.4e-13 !   [C28235; 123bp]
3595                 -         LSU_rRNA_archaea     RF02540    cm     2038     2161        1      123      + 5'&3'    4 0.51   0.0   50.9   7.6e-13 !   [C30789; 123bp]
2009                 -         LSU_rRNA_archaea     RF02540    cm      788      881       31      123      +    3'    4 0.52   0.0   50.9   7.8e-13 !   [C33359; 123bp]
2147                 -         LSU_rRNA_archaea     RF02540    cm      788      875       37      123      +    3'    4 0.54   0.0   50.8   8.8e-13 !   [C28561; 123bp]
2026                 -         LSU_rRNA_archaea     RF02540    cm     2281     2405      123        1      - 5'&3'    4 0.54   0.0   50.7   8.9e-13 !   [C32681; 123bp]
3043                 -         LSU_rRNA_archaea     RF02540    cm      857      984        1      123      + 5'&3'    4 0.47   0.0   50.7   8.9e-13 !   [C30947; 123bp]
1180                 -         LSU_rRNA_archaea     RF02540    cm      788      875       87        1      -    3'    4 0.54   0.0   50.7   9.2e-13 !   [C31395; 123bp]
2455                 -         LSU_rRNA_archaea     RF02540    cm      441      548        1      111      +    5'    4 0.35   1.8   50.5   1.1e-12 !   [C27319; 123bp]
2695                 -         LSU_rRNA_archaea     RF02540    cm     1117     1236        3      123      +    3'    4 0.53   0.0   50.4   1.1e-12 !   [C31887; 123bp]
3920                 -         LSU_rRNA_archaea     RF02540    cm     1898     2020        1      123      + 5'&3'    4 0.43   0.0   50.4   1.1e-12 !   [C32137; 123bp]
3015                 -         LSU_rRNA_archaea     RF02540    cm     2627     2718      123       32      -    5'    4 0.47   0.0   50.4   1.2e-12 !   [C30841; 123bp]
1467                 -         LSU_rRNA_archaea     RF02540    cm     1385     1510        1      123      + 5'&3'    4 0.45   0.0   50.3   1.2e-12 !   [C31289; 123bp]
2893                 -         LSU_rRNA_archaea     RF02540    cm      441      548        1      111      +    5'    4 0.36   1.2   50.3   1.3e-12 !   [C27321; 123bp]
3729                 -         LSU_rRNA_archaea     RF02540    cm      849      978      123        1      - 5'&3'    4 0.50   0.0   50.2   1.3e-12 !   [C31335; 123bp]
2972                 -         LSU_rRNA_archaea     RF02540    cm     2761     2872        1      113      +    5'    4 0.50   0.0   50.1   1.4e-12 !   [C31751; 123bp]
2379                 -         LSU_rRNA_archaea     RF02540    cm     1117     1236        3      123      +    3'    4 0.53   0.0   50.1   1.4e-12 !   [C31759; 123bp]
123                  -         LSU_rRNA_bacteria    RF02541    cm        1     2925      761     3669      +    no    1 0.21 774.9  285.5   2.3e-92 !   [scaffold202; 5738bp]
705                  -         LSU_rRNA_bacteria    RF02541    cm     2515     2635        1      121      +    5'    4 0.47   0.0   94.7   1.9e-28 !   [C33431; 123bp]
1047                 -         LSU_rRNA_bacteria    RF02541    cm     2512     2633        1      123      + 5'&3'    4 0.39   0.0   93.8   3.7e-28 !   [C29947; 123bp]
2146                 -         LSU_rRNA_bacteria    RF02541    cm     2509     2631        1      123      + 5'&3'    4 0.46   0.0   92.0   1.5e-27 !   [C29141; 123bp]
2276                 -         LSU_rRNA_bacteria    RF02541    cm     2518     2635      123        6      -    5'    4 0.47   0.0   85.4   2.4e-25 !   [C32997; 123bp]
1562                 -         LSU_rRNA_bacteria    RF02541    cm     2524     2632      121       13      -    no    4 0.50   0.0   84.9   3.7e-25 !   [C30055; 123bp]
1812                 -         LSU_rRNA_bacteria    RF02541    cm     2495     2617      123        1      - 5'&3'    4 0.46   0.0   84.5   4.9e-25 !   [C27581; 123bp]
1349                 -         LSU_rRNA_bacteria    RF02541    cm     2488     2610        1      123      + 5'&3'    4 0.48   0.0   84.4   5.1e-25 !   [C28975; 123bp]
1779                 -         LSU_rRNA_bacteria    RF02541    cm     2513     2635        1      123      + 5'&3'    4 0.46   0.0   84.1   6.5e-25 !   [C32221; 123bp]
2286                 -         LSU_rRNA_bacteria    RF02541    cm     2502     2624        1      123      + 5'&3'    4 0.46   0.0   84.1   6.6e-25 !   [C29287; 123bp]
3031                 -         LSU_rRNA_bacteria    RF02541    cm     2511     2632      123        2      -    5'    4 0.48   0.0   83.6   9.6e-25 !   [C31921; 123bp]
3750                 -         LSU_rRNA_bacteria    RF02541    cm     2492     2614      123        1      - 5'&3'    4 0.46   0.0   82.2   2.9e-24 !   [C33007; 123bp]
2942                 -         LSU_rRNA_bacteria    RF02541    cm     2498     2620      123        1      - 5'&3'    4 0.47   0.0   82.2     3e-24 !   [C30333; 123bp]
3465                 -         LSU_rRNA_bacteria    RF02541    cm     2525     2635        1      111      +    5'    4 0.48   0.0   81.4   5.2e-24 !   [C30411; 123bp]
3111                 -         LSU_rRNA_bacteria    RF02541    cm     2514     2635      123        2      -    5'    4 0.46   0.0   81.0   7.6e-24 !   [C30981; 123bp]
1384                 -         LSU_rRNA_bacteria    RF02541    cm     2489     2611        1      123      + 5'&3'    4 0.46   0.0   80.8   8.4e-24 !   [C32313; 123bp]
3667                 -         LSU_rRNA_bacteria    RF02541    cm     2488     2610        1      123      + 5'&3'    4 0.48   0.0   80.5     1e-23 !   [C28977; 123bp]
2992                 -         LSU_rRNA_bacteria    RF02541    cm     2524     2635      123       12      -    5'    4 0.48   0.0   80.4   1.1e-23 !   [C31241; 123bp]
3858                 -         LSU_rRNA_bacteria    RF02541    cm     2505     2627        1      123      + 5'&3'    4 0.49   0.0   80.3   1.3e-23 !   [C30703; 123bp]
1539                 -         LSU_rRNA_bacteria    RF02541    cm     2250     2371        1      123      + 5'&3'    4 0.50   0.0   80.0   1.6e-23 !   [C31483; 123bp]
1092                 -         LSU_rRNA_bacteria    RF02541    cm     2529     2635        1      107      +    5'    4 0.50   0.0   79.6   2.1e-23 !   [C33521; 123bp]
3354                 -         LSU_rRNA_bacteria    RF02541    cm     2490     2612        1      123      + 5'&3'    4 0.45   0.0   79.6   2.2e-23 !   [C29767; 123bp]
3929                 -         LSU_rRNA_bacteria    RF02541    cm     2524     2632      109        1      -    no    4 0.49   0.0   79.4   2.5e-23 !   [C31995; 123bp]
1219                 -         LSU_rRNA_bacteria    RF02541    cm     2501     2623        1      123      + 5'&3'    4 0.48   0.0   79.2   2.8e-23 !   [C29179; 123bp]
3550                 -         LSU_rRNA_bacteria    RF02541    cm     2500     2622      123        1      - 5'&3'    4 0.47   0.0   78.6   4.7e-23 !   [C33701; 123bp]
2962                 -         LSU_rRNA_bacteria    RF02541    cm     2491     2613      123        1      - 5'&3'    4 0.45   0.0   78.3     6e-23 !   [C30851; 123bp]
3839                 -         LSU_rRNA_bacteria    RF02541    cm     2251     2372      123        1      - 5'&3'    4 0.50   0.0   77.1   1.5e-22 !   [C33307; 123bp]
3174                 -         LSU_rRNA_bacteria    RF02541    cm     2249     2370        1      123      + 5'&3'    4 0.51   0.0   77.0   1.6e-22 !   [C31937; 123bp]
2314                 -         LSU_rRNA_bacteria    RF02541    cm     2253     2374        1      123      + 5'&3'    4 0.50   0.0   75.2   6.6e-22 !   [C28781; 123bp]
2083                 -         LSU_rRNA_bacteria    RF02541    cm     1073     1196        1      123      + 5'&3'    4 0.54   0.0   75.0   7.6e-22 !   [C31897; 123bp]
3963                 -         LSU_rRNA_bacteria    RF02541    cm     1068     1190        1      122      + 5'&3'    4 0.51   0.0   74.1   1.6e-21 !   [C27125; 122bp]
3013                 -         LSU_rRNA_bacteria    RF02541    cm     1069     1176      108        1      -    3'    4 0.48   0.0   73.9   1.7e-21 !   [C32589; 123bp]
747                  -         LSU_rRNA_bacteria    RF02541    cm     2246     2367      123        1      - 5'&3'    4 0.51   0.0   73.5   2.3e-21 !   [C33549; 123bp]
1480                 -         LSU_rRNA_bacteria    RF02541    cm     1069     1175       17      123      +    3'    4 0.50   0.0   73.0   3.5e-21 !   [C30147; 123bp]
1443                 -         LSU_rRNA_bacteria    RF02541    cm     1922     2041      123        4      -    5'    4 0.44   0.0   72.8   4.1e-21 !   [C30223; 123bp]
2375                 -         LSU_rRNA_bacteria    RF02541    cm     1915     2037      123        1      - 5'&3'    4 0.46   0.0   72.6   4.6e-21 !   [C31717; 123bp]
1218                 -         LSU_rRNA_bacteria    RF02541    cm     1069     1185        8      123      +    3'    4 0.50   0.0   72.6   4.9e-21 !   [C28131; 123bp]
1233                 -         LSU_rRNA_bacteria    RF02541    cm     2533     2635        1      103      +    5'    4 0.49   0.0   72.2   6.6e-21 !   [C29473; 123bp]
626                  -         LSU_rRNA_bacteria    RF02541    cm      717      844        1      129      + 5'&3'    4 0.52   0.0   71.9   8.4e-21 !   [C33891; 129bp]
2204                 -         LSU_rRNA_bacteria    RF02541    cm     1905     2026      123        2      -    5'    4 0.46   0.0   71.1   1.5e-20 !   [C29959; 123bp]
2232                 -         LSU_rRNA_bacteria    RF02541    cm     1899     2020        1      122      +    5'    4 0.46   0.0   71.1   1.6e-20 !   [C33303; 123bp]
3558                 -         LSU_rRNA_bacteria    RF02541    cm     1072     1195        1      123      + 5'&3'    4 0.51   0.0   70.9   1.8e-20 !   [C28841; 123bp]
1781                 -         LSU_rRNA_bacteria    RF02541    cm     1078     1196        1      118      +    5'    4 0.52   0.0   70.4   2.6e-20 !   [C33197; 123bp]
3129                 -         LSU_rRNA_bacteria    RF02541    cm     1908     2026      123        5      -    5'    4 0.49   0.0   70.0   3.4e-20 !   [C27945; 123bp]
2073                 -         LSU_rRNA_bacteria    RF02541    cm     1899     2020      123        2      -    5'    4 0.46   0.0   69.9   3.8e-20 !   [C31891; 123bp]
978                  -         LSU_rRNA_bacteria    RF02541    cm     1896     2018        1      123      + 5'&3'    4 0.46   0.0   69.8   4.2e-20 !   [C28111; 123bp]
3345                 -         LSU_rRNA_bacteria    RF02541    cm     1069     1184      115        1      -    3'    4 0.50   0.0   69.8   4.2e-20 !   [C32557; 123bp]
